MAJ   , Code Postal , Latitude , Longitude , Eloignement 
AMBLENY   ,02290,49.383333,3.183333,1.5
AMBRIEF   ,02200,49.316667,3.4,1.5
AMIFONTAINE   ,02190,49.483333,3.916667,1.7
AMIGNY ROUY  ,02700,49.6,3.3,1.33
ANCIENVILLE   ,02600,49.216667,3.216667,1.36
ANDELAIN   ,02800,49.633333,3.366667,0.91
ANGUILCOURT LE SART ,02800,49.683333,3.433333,1.02
ANIZY LE CHATEAU ,02320,49.5,3.45,0.36
ANNOIS   ,02480,49.716667,3.166667,1.58
ANY MARTIN RIEUX ,02500,49.883333,4.2165,-1
ARCHON   ,02360,49.741667,4.116667,-1
ARCY SAINTE RESTITUE ,02130,49.25,3.466667,1.33
ARMENTIERES SUR OURCQ ,02210,49.183333,3.383333,1.5
ARRANCY   ,02860,49.483333,3.75,1.87
ARTEMPS   ,02480,49.766667,3.183333,1.5
ARTONGES   ,02330,48.933333,3.55,2.53
ASSIS SUR SERRE ,02270,49.683333,3.566667,0.56
ATHIES SOUS LAON ,02840,49.566667,3.683333,1.27
ATTILLY   ,02490,49.85,3.166667,1.58
AUBENCHEUL AUX BOIS ,02420,50.033333,3.266667,2
AUBENTON   ,02500,49.833333,4.2,2.93
AUBIGNY AUX KAISNES ,02590,49.783333,3.116667,1.8
AUBIGNY EN LAONNOIS ,02820,49.5,3.8,1.19
AUDIGNICOURT   ,02300,49.483333,3.133333,1.74
AUDIGNY   ,02120,49.85,3.65,1.24
AUGY   ,02220,49.333333,3.516667,0.88
AULNOIS SOUS LAON ,02000,49.616667,3.6,1.15
LES AUTELS  ,02360,49.766667,4.2257,-1
AUTREMENCOURT   ,02250,49.7,3.8,1.19
AUTREPPES   ,02580,49.9,3.85,1.45
AUTREVILLE   ,02300,49.583333,3.233333,1.29
AZY SUR MARNE ,02400,49,3.366667,2.26
BAGNEUX   ,02290,49.466667,3.283333,1.86
BANCIGNY   ,02140,49.8,4.016667,2.13
BARBONVAL   ,02160,49.35,3.666667,0.96
BARENTON BUGNY  ,02000,49.633333,3.65,1.73
BARENTON CEL  ,02000,49.65,3.633333,1.79
BARENTON SUR SERRE ,02270,49.666667,3.683333,1.38
BARZY EN THIERACHE ,02170,50.033333,3.75,2
BARZY SUR MARNE ,02850,49.083333,3.55,1.91
BASSOLES AULERS  ,02380,49.533333,3.383333,1.39
BAULNE EN BRIE ,02330,48.983333,3.616667,2.33
BEAUME   ,02500,49.833333,4.15,2.72
BEAUMONT EN BEINE ,02300,49.7,3.133333,1.95
BEAUREVOIR   ,02110,50,3.3,1.86
BEAURIEUX   ,02160,49.4,3.733333,0.9
BEAUTOR   ,02800,49.65,3.333333,1.41
BEAUVOIS EN VERMANDOIS ,02590,49.816667,3.1,1.87
BELLEAU   ,02400,49.1,3.3,1.85
BELLENGLISE   ,02420,49.916667,3.25,1.52
BELLEU   ,02200,49.366667,3.333333,0.85
BELLICOURT   ,02420,49.95,3.233333,1.65
BENAY   ,02440,49.75,3.316667,1.78
BERGUES SUR SAMBRE ,02450,50.033333,3.716667,2
BERLISE   ,02340,49.666667,4.116667,2.57
BERNOT   ,02120,49.866667,3.5,1.8
BERNY RIVIERE  ,02290,49.416667,3.15,1.65
BERRIEUX   ,02820,49.483333,3.85,1.41
BERRY AU BAC ,02190,49.4,3.9,1.66
BERTAUCOURT EPOURDON  ,02800,49.616667,3.383333,1.08
BERTHENICOURT   ,02240,49.766667,3.383333,0.9
BERTRICOURT   ,02190,49.383333,4,2.06
BERZY LE SEC ,02200,49.333333,3.316667,0.92
BESME   ,02300,49.533333,3.166667,1.58
BESMONT   ,02500,49.833333,4.116667,2.57
BESNY ET LOIZY ,02870,49.6,3.583333,1.32
BETHANCOURT EN VAUX ,02300,49.616667,3.15,1.65
BEUGNEUX   ,02210,49.233333,3.416667,1.3
BEUVARDES   ,02130,49.15,3.483333,1.64
BEZU LE GUERY ,02310,49.016667,3.233333,2.19
BEZU SAINT GERMAIN ,02400,49.1,3.4,1.85
BICHANCOURT   ,02300,49.583333,3.216667,1.36
BIEUXY   ,02290,49.45,3.266667,1.47
BIEVRES   ,02860,49.5,3.716667,1.12
BILLY SUR AISNE ,02200,49.366667,3.383333,1.08
